SYMBOL,E10,E11,E12,E13,E14,E15,E16,P0
0610005C13Rik,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
0610009E02Rik,ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
0610009L18Rik,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,ACTIVE,POISED,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
0610010K14Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
0610030E20Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
0610038B21Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,ACTIVE,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
0610039K10Rik,PERMISSIVE_ACTIVE,QUIESCENT,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
0610040B10Rik,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
0610040F04Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
0610040J01Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,POISED,POISED,PRIMED,LOW_PRIMED,LOW_PRIMED
0610043K17Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1110002E22Rik,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED
1110002J07Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1110002L01Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110004F10Rik,LOW_PRIMED,PERMISSIVE_ACTIVE,POISED,POISED,LOW_PRIMED,PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED
1110006O24Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110015O18Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1110019D14Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1110020A21Rik,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110028F11Rik,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1110028F18Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1110032F04Rik,ACTIVE,LOW_PRIMED,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,ACTIVE
1110038B12Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110038F14Rik,ACTIVE,QUIESCENT,ACTIVE,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_ACTIVE
1110046J04Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1110059E24Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,ACTIVE,ACTIVE,PRIMED
1110059G10Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1110065P20Rik,ACTIVE,ACTIVE,PRIMED,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1190005I06Rik,LOW_PRIMED,LOW_PRIMED,POISED,POISED,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1190028D05Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1300002E11Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE
1500004A13Rik,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
1500009L16Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,PRIMED,POISED,LOW_PRIMED,ACTIVE,LOW_PRIMED
1500011B03Rik,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1500015A07Rik,ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED
1500015L24Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1500026H17Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT
1600002D24Rik,POISED,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1600010M07Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1600012H06Rik,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
1600012P17Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1600014C10Rik,ACTIVE,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1600014C23Rik,ACTIVE,QUIESCENT,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1600019K03Rik,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
1600020E01Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,PRIMED,ACTIVE,ACTIVE
1600023N17Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,LOW_PRIMED,ACTIVE,ACTIVE,LOW_PRIMED
1600025M17Rik,LOW_PRIMED,N/A,LOW_PRIMED,QUIESCENT,N/A,N/A,LOW_PRIMED,N/A
1600027J07Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1600029I14Rik,POISED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700001D01Rik,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700001G01Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700001G11Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1700001G17Rik,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700001J03Rik,LOW_PRIMED,REFRACTORY,LOW_PRIMED,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700001K19Rik,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700001K23Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700001L05Rik,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED
1700001O22Rik,ACTIVE,PERMISSIVE_ACTIVE,POISED,POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED
1700003D09Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1700003E16Rik,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT
1700003F12Rik,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_POISED
1700003G18Rik,ACTIVE,LOW_PRIMED,PRIMED,PRIMED,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,LOW_PRIMED
1700003H04Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700003I22Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700003L19Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700003M07Rik,POISED,LOW_PRIMED,POISED,POISED,PERMISSIVE_POISED,POISED,PERMISSIVE_ACTIVE,LOW_PRIMED
1700003P14Rik,PRIMED,PERMISSIVE_POISED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700006A11Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700006F04Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700006H21Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED
1700007F19Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700007J10Rik,PRIMED,QUIESCENT,LOW_PRIMED,PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700007L15Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1700008C04Rik,LOW_PRIMED,LOW_PRIMED,ACTIVE,LOW_PRIMED,LOW_PRIMED,ACTIVE,ACTIVE,LOW_PRIMED
1700008J07Rik,ACTIVE,N/A,PERMISSIVE_ACTIVE,QUIESCENT,N/A,N/A,N/A,N/A
1700008K24Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED
